Year,TreeLossHa
2001,9897.881368022054
2002,5515.5242411358995
2003,2313.479870429065
2004,7142.055982013634
2005,8347.711667286138
2006,5342.11937653294
2007,12468.57195819585
2008,7203.622215239233
2009,7360.916449081026
2010,4036.8796871405148
2011,3221.3539572422164
2012,6014.148038019493
2013,5775.748603388336
2014,6363.328689228491
2015,4933.740972809915
2016,10815.367575315468
2017,7217.031632713455
2018,9591.706622320533
2019,12651.52468333989
2020,7458.912370554942
2021,10625.388242217083
2022,8307.433833056353
